tech_approval_required,requester_id,role,product,quantity,price,total
0,E2300,tech,Desk,1,664,664
0,E2300,tech,Keyboard,9,649,5841
0,E2374,non-tech,Keyboard,1,821,821
1,E2374,non-tech,Desktop Computer,24,655,15720
0,E2327,non-tech,Desk,1,758,758
0,E2354,non-tech,Desk,1,576,576
1,E2348,non-tech,Desktop Computer,21,1006,21126
0,E2304,tech,Chair,3,155,465
0,E2363,non-tech,Keyboard,1,1028,1028
0,E2343,non-tech,Desk,3,487,1461
0,E2370,non-tech,Cleaning,8,749,5992
1,E2358,non-tech,Desktop Computer,21,1082,22722
1,E2387,non-tech,Desktop Computer,18,130,2340
0,E2381,non-tech,Mouse,2,1006,2012
0,E2346,non-tech,Cleaning,4,495,1980
0,E2366,non-tech,Cleaning,1,861,861
0,E2322,non-tech,Desk,2,155,310
0,E2393,non-tech,Keyboard,2,324,648
0,E2363,non-tech,Desk,1,345,345
0,E2371,non-tech,Mouse,2,788,1576
1,E2347,non-tech,Desktop Computer,19,1064,20216
0,E2338,non-tech,Desk,1,405,405
0,E2309,tech,Keyboard,1,902,902
0,E2326,non-tech,Chair,7,400,2800
0,E2311,tech,Cleaning,2,885,1770
0,E2349,non-tech,Keyboard,1,121,121
0,E2399,non-tech,Chair,1,213,213
0,E2323,non-tech,Keyboard,2,811,1622
0,E2330,non-tech,Keyboard,5,620,3100
0,E2379,non-tech,Desk,4,649,2596
0,E2353,non-tech,Desk,5,321,1605
0,E2388,non-tech,Keyboard,2,774,1548
0,E2351,non-tech,Chair,3,611,1833
0,E2398,non-tech,Keyboard,1,853,853
0,E2375,non-tech,Cleaning,4,793,3172
1,E2355,non-tech,Desktop Computer,18,591,10638
0,E2321,non-tech,Keyboard,2,1167,2334
0,E2344,non-tech,Cleaning,1,934,934
0,E2333,non-tech,Cleaning,7,269,1883
0,E2304,tech,Mouse,1,664,664
0,E2371,non-tech,Cleaning,3,369,1107
0,E2346,non-tech,Mouse,2,1155,2310
0,E2372,non-tech,Keyboard,6,675,4050
0,E2369,non-tech,Keyboard,19,701,13319
0,E2361,non-tech,Keyboard,12,1157,13884
0,E2307,tech,Desk,2,1189,2378
0,E2360,non-tech,Desk,1,219,219
0,E2339,non-tech,Desk,1,444,444
1,E2345,non-tech,Desktop Computer,17,856,14552
1,E2339,non-tech,Desktop Computer,17,232,3944
0,E2396,non-tech,Desk,1,251,251
0,E2388,non-tech,Cleaning,3,93,279
1,E2373,non-tech,Desktop Computer,17,1106,18802
0,E2361,non-tech,Mouse,1,984,984
0,E2400,non-tech,Keyboard,2,252,504
1,E2343,non-tech,Desktop Computer,16,85,1360
0,E2340,non-tech,Chair,4,257,1028
0,E2386,non-tech,Cleaning,2,154,308
0,E2392,non-tech,Desk,3,162,486
0,E2332,non-tech,Desk,1,561,561
0,E2363,non-tech,Mouse,3,310,930
0,E2338,non-tech,Keyboard,2,644,1288
0,E2363,non-tech,Keyboard,1,927,927
0,E2337,non-tech,Desk,3,527,1581
0,E2369,non-tech,Mouse,3,180,540
0,E2334,non-tech,Chair,18,1046,18828
0,E2395,non-tech,Mouse,2,365,730
1,E2396,non-tech,Desktop Computer,16,763,12208
0,E2328,non-tech,Mouse,3,126,378
